iter	Passed	Remaining
0	103	10286
1	106	5229
2	109	3553
3	113	2718
4	116	2215
5	119	1876
6	123	1634
7	125	1448
8	129	1304
9	132	1194
10	135	1099
11	139	1019
12	142	955
13	145	893
14	149	844
15	152	801
16	156	762
17	159	726
18	162	693
19	166	664
20	169	636
21	172	612
22	175	588
23	179	568
24	183	549
25	186	532
26	190	516
27	194	501
28	199	489
29	202	472
30	206	460
31	215	458
32	220	447
33	225	437
34	229	425
35	233	414
36	237	404
37	241	394
38	246	385
39	251	377
40	255	367
41	261	360
42	264	351
43	269	343
44	274	335
45	280	328
46	284	320
47	288	312
48	294	306
49	298	298
50	303	291
51	307	284
52	309	274
53	314	267
54	317	259
55	319	251
56	323	244
57	326	236
58	331	230
59	335	223
60	338	216
61	342	209
62	345	202
63	347	195
64	351	189
65	356	183
66	358	176
67	362	170
68	365	164
69	368	158
70	372	152
71	376	146
72	379	140
73	385	135
74	389	129
75	393	124
76	403	120
77	408	115
78	412	109
79	415	103
80	419	98
81	422	92
82	425	87
83	429	81
84	432	76
85	434	70
86	438	65
87	442	60
88	447	55
89	451	50
90	458	45
91	459	39
92	465	35
93	467	29
94	470	24
95	473	19
96	475	14
97	476	9
98	480	4
99	483	0
